user,model_MSE,ref_model_MSE,model_overall_mean,ref_overall_mean,model_spearman_rho,model_spearman_p,ref_spearman_rho,ref_spearman_p
user0,1.5142222222104447,1.0944027777696665,4.175,4.55,-0.22492505116162387,0.5321220586935935,-0.17231503369628506,0.6340551323410583
user1,2.0956805554983333,1.5826666665844442,4.175,4.55,0.05504612895593177,0.8799507918645773,0.17231503369628506,0.6340551323410583
user2,0.9772222222287332,0.6524166666710556,4.2,4.55,0.006154108346295896,0.986538397832127,0.006211180124223603,0.9864135676340428
user3,1.5191111112535556,1.1654722223468887,4.0,4.55,-0.03077054173147948,0.9327531351693794,-0.32616774235368245,0.3576907941424854
user4,0.437680555560389,0.38244444444677783,4.175,4.55,0.766928898924811,0.00963835937752333,0.8012422360248447,0.0053302640305107575
